Transmission Mean Time(ms), Sever InnerTime(ms)
0.0,82.9511
6.4199,7.9105
13.6988,2.2204
3.9354,15.7997
6.1214,3.6514
7.2112,6.7202
6.3198,2.2884
6.0542,2.9219
5.7032,2.5195
5.6985,3.2111
6.5139,4.0731
5.8841,4.0126
5.9481,5.7255
6.3563,2.6621
6.4434,2.4519
6.3057,2.5995
6.3742,1.933
7.1078,1.7305
7.1703,2.1985
6.7823,8.145
4.8069,1.7905
6.4102,4.0288
6.7016,1.7449
11.2899,2.0954
8.8636,1.6987
6.272,1.4405
9.4042,1.5369
5.5137,1.569
6.4785,1.84
6.0924,1.5894
6.4777,2.0178
5.8561,1.7325
7.3531,1.2266
5.6796,1.4989
6.7634,3.235
9.5315,2.744
8.2607,1.712
10.7951,1.6437
5.7091,1.4911
6.4906,2.8408
6.0984,1.2368
1.8597,5.8818
5.9587,1.5342
8.5368,1.4726
6.4214,1.6606
7.0188,1.7405
6.5601,1.8284
5.3538,1.5338
7.2231,1.715
6.6903,1.4682
11.0555,4.8983
9.1434,6.5007
5.4465,1.6079
11.7287,1.8353
5.8123,1.225
6.6735,1.8966
6.0379,1.3095
5.1335,2.6648
19.0219,1.6745
6.1728,1.2337
6.9655,1.3457
8.4721,4.3932
9.985,1.5337
8.9722,1.2979
5.6523,1.3955
7.5885,1.2191
6.7285,1.2669
9.8453,1.2487
5.5656,5.2993
6.7104,1.0074
7.7629,4.0737
13.0594,2.2891
8.6813,1.3785
12.7912,1.3878
6.5736,1.8838
5.9732,1.2267
5.5589,4.5392
6.5192,0.9411
6.9409,1.6564
6.5238,1.8379
4.8235,1.5362
5.7132,1.1394
6.5559,4.7699
5.5293,1.2205
7.0014,2.4987
11.1667,3.9112
6.1028,1.4003
9.1901,1.4653
18.574,1.6071
5.6319,1.1438
5.8701,1.9264
6.0195,1.6358
5.4741,1.6279
6.7252,1.4837
7.2148,2.5017
6.0542,1.6927
7.605,2.2232
6.1961,1.3958
5.0158,2.0902
6.4366,1.6541
7.8936,1.5004
10.901,4.5672
18.0963,1.3301
21.6212,1.3439
7.3825,1.9473
16.3778,2.0993
6.512,1.1022
5.932,1.1571
5.7227,2.143
7.1929,1.8465
6.7943,1.0514
6.7916,1.6265
6.6951,1.2261
5.99,1.2865
6.4572,2.2099
6.538,1.7134
7.5893,1.0382
7.426,3.3064
7.0577,1.1398
4.9212,1.5142
5.4362,1.7531
21.99,1.9629
7.245,1.2107
6.3135,3.8731
9.5407,1.5185
14.5761,1.7683
12.0637,1.2725
15.3874,1.619
18.8014,1.4332
9.3251,1.3462
6.924,3.6934
8.9594,1.1132
6.9668,1.2392
7.7106,1.6037
6.305,1.8717
6.0897,1.2996
6.9563,1.2116
6.5308,1.462
7.4599,1.3402
7.6457,1.0416
6.5589,1.7323
5.6649,1.2105
5.829,2.2993
5.5604,0.9334
6.1393,3.8906
7.9745,0.8149
6.5019,0.9726
5.7053,1.1089
6.9908,3.9022
5.9078,1.1317
9.2044,1.4242
9.5269,1.412
10.5317,1.1394
6.611,1.9383
6.2302,0.8758
7.159,2.094
5.799,0.8778
6.1452,1.2651
3.2072,1.3004
6.1866,1.1399
7.0901,1.5736
6.2591,1.7621
6.8446,1.3611
6.9096,1.0802
10.2067,0.9809
6.1419,0.8398
5.989,2.1233
6.0338,2.8604
8.41,1.3134
6.3391,0.9215
8.1208,0.8398
6.0872,0.886
56375.9618,2.1346
5.6051,1.1224
5.8348,1.0889
6.2913,1.2814
6.3573,1.0681
6.0707,1.9503
5.826,0.996
6.1239,1.0355
6.8266,1.041
5.9451,1.0016
5.9357,0.868
6.3704,0.9455
6.8296,2.9907
6.2124,1.2375
6.8671,3.0666
5.7682,0.7148
7.9886,1.4958
5.7855,0.9798
11.0887,20.0578
5.8361,3.3696
7.8893,0.9979
6.3251,5.1219
7.6656,1.0455
13.1452,1.0971
10.7712,0.8968
8.8928,4.1411
5.61,1.1049
5.882,1.5237
6.4804,0.9058
6.1008,1.2434
4.7221,1.0428
5.4521,1.0496
6.6124,2.6293
8.7919,1.1499
12.6821,1.0086
6.6266,2.7406
9.6423,0.9542
7.7058,0.8739
6.3801,1.3844
5.9155,1.1062
5.454,0.91
6.6463,1.9817
8.9432,0.8994
6.234,3.0993
6.8249,1.2456
5.9126,1.186
6.5563,0.9182
6.7506,2.5288
5.721,0.9833
5.991,3.0964
6.8609,0.7504
6.7453,6.6128
5.8366,0.7264
5.5597,1.2101
6.5407,0.9293
6.6005,3.7101
5.63,0.7582
7.0875,2.6742
5.4913,1.0435
6.3053,3.4481
8.2426,1.2617
8.1619,1.1173
7.5149,1.1085
14.7151,1.0881
5.0972,1.7028
6.0222,1.0416
10.573,0.93
6.4361,1.1984
6.7896,1.7607
6.1987,1.0229
6.2615,1.492
6.2682,1.0748
10.356,0.9496
9.5993,0.9714
13.8637,0.863
6.1387,0.9937
5.951,0.9526
8.9018,0.9124
6.1708,0.8466
6.7402,2.1506
6.233,0.9444
7.6096,2.3846
7.0409,0.9125
17.0742,1.1079
16.91,1.1762
5.717,1.0692
5.8299,0.9427
8.2207,1.4335
6.3465,1.1102
7.3873,1.0513
6.5206,0.7457
6.9908,1.5955
7.55,0.919
10.2243,0.9696
5.8138,0.9393
8.9323,0.9328
6.2401,1.4084
7.4976,0.8721
7.0494,0.8565
7.5924,1.0579
7.6508,0.9308
6.9228,1.1841
6.7814,0.9088
3.2716,4.9443
5.7923,0.8056
52.8755,0.8634
32.2362,0.9184
33.6646,0.8875
23.4081,0.9588
6.0703,0.8943
9.0646,1.0346
5.9653,0.8915
8.0345,1.1117
6.8954,0.87
6.2424,1.5602
6.2766,0.8189
25.72,1.1079
6.2771,1.0679
26.9277,0.8845
13.9074,1.2905
7.2896,0.9507
5.542,0.999
6.4591,1.0524
6.32,1.7273
9.9473,0.7387
11.5581,0.9759
5.6057,2.431
13.4722,0.7302
8.2794,1.2043
5.7764,0.9485
6.6356,1.4531
5.9399,1.1018
16.8814,0.8716
6.1572,0.9324
5.542,1.2361
8.3592,1.7351
5.5981,0.8333
6.5468,1.0947
7.4858,0.8309
15.4421,0.9132
7.4979,1.1313
8.1952,1.1355
3.7962,3.327
8.9625,0.7914
8.4594,0.8616
6.6312,0.9064
11.1878,0.8673
15.5767,1.1945
6.0702,0.9914
6.8513,0.9598
10.1193,2.5836
24.4976,0.764
14.8957,1.1756
5.9822,3.4343
6.4845,0.8143
6.1683,2.4837
6.5188,0.9591
12.0524,0.9016
17.0114,0.9465
6.0063,0.8642
8.36,1.0127
14.6033,1.0843
5.9674,0.886
5.8355,2.3712
6.9773,0.9494
6.0477,1.3457
6.615,1.0452
5.8342,1.265
22.7355,0.8833
14.2943,0.7869
5.9229,0.8433
9.8336,2.1858
15.4205,0.7678
15.7542,1.0357
6.0024,0.86
6.1837,0.9664
5.9633,1.0146
7.2066,1.7045
7.0972,1.0112
7.8815,0.9436
6.0666,1.0129
1.9735,1.8858
6.182,1.1825
17.8952,0.9874
14.9834,0.9408
8.0713,3.7385
20.9829,0.957
13.7941,0.9972
6.1227,0.7951
41.9578,1.0425
6.0808,0.911
7.6245,2.1212
6.3068,0.9714
5.2557,1.0901
5.7047,0.8937
7.7661,4.2434
81.977,1.2823
41.7174,0.8721
17.8277,1.554
13.9996,0.8327
22.1464,0.997
6.2801,0.8642
9.3949,0.9505
5.7322,0.7228
10.28,0.9654
6.1282,0.8705
6.2716,1.5653
7.1097,0.9489
6.0017,1.3992
11.7797,13.2327
6.6822,1.0943
5.8101,1.1969
18.2741,0.915
6.5779,1.0884
5.8553,0.9278
12.7659,0.7799
18.4023,1.11
5.8159,3.9721
7.0186,1.2561
7.435,1.5507
4.6078,0.8341
6.3865,2.9683
12.9939,0.9111
6.9406,0.9638
15.2789,1.0164
6.7302,1.0273
6.9685,1.125
5.9322,1.0756
7.4393,0.8309
6.4967,1.0367
6.394,2.409
6.1094,0.8427
7.5195,1.4605
18.585,0.8192
7.9796,0.8908
6.8075,1.0473
5.9205,1.0375
791.2445,1.2314
9.0034,1.3521
12.943,0.8414
6.8579,1.0233
6.2553,0.7895
6.9548,1.8029
7.4131,0.6794
7.4566,2.068
5.7686,0.9253
7.809,1.7799
8.4148,0.9185
13.0345,0.9771
6.0703,2.5389
9.3308,0.9313
6.8004,1.7192
10.3024,1.1644
12.5677,1.3578
11.5218,1.3342
5.6587,0.9038
6.2249,0.9905
5.8125,0.8001
7.0502,1.5953
10.5527,1.6322
7.3034,1.1554
15.3519,0.9692
6.4669,0.9183
7.0403,0.8789
6.18,1.048
4.9915,1.2326
17.7273,0.8432
6.006,1.0662
19.7805,2.4284
12.9016,0.9898
5.7379,0.8901
20.0245,1.0204
15.9828,0.8504
10.8129,0.9566
6.3204,0.9962
9.5699,0.9275
6.5171,1.0416
5.2741,1.1552
6.4332,0.8731
7.0114,2.3786
6.6258,0.6998
8.1585,0.7323
6.4807,0.9341
7.6075,1.237
6.1475,0.8263
6.1466,3.086
6.8262,0.6721
6.4915,2.7048
9.0866,0.6644
6.5288,0.9298
5.8519,0.7586
7.4067,1.6426
7.1997,0.7547
6.1306,2.3315
6.6737,0.6447
6.3706,0.6962
7.5798,1.4281
7.2423,1.2398
5.8809,0.9763
5.8671,0.8359
6.2817,1.36
6.4714,0.8768
6.4176,2.0122
5.6223,0.8533
7.7687,2.2829
7.1712,0.9619
7.3411,0.8996
5.6561,1.0227
5.9227,1.2292
6.7513,0.7736
6.2259,0.7408
11.3175,0.784
6.6866,3.7351
5.6903,0.5816
7.0695,1.5188
6.7744,0.6906
6.4533,3.7698
5.6956,0.7607
9.2374,0.6545
6.3584,0.6648
9.3961,1.0647
5.8504,0.876
9.6361,0.7297
6.6903,0.918
6.3144,1.7849
5.916,0.7914
7.4844,1.4616
7.2314,0.8055
7.2491,2.608
8.4139,0.7839
6.3377,1.8041
5.8657,0.5828
6.8252,2.0097
6.5815,0.7683
8.7024,1.1711
6.3283,0.7883
6.8982,2.4771
2.6443,1.6062
5.5858,0.8056
6.5404,1.0157
7.1248,1.5543
7.7718,1.2387
5.8839,0.7867
6.2325,1.548
6.3514,0.9032
6.1758,2.6873
6.1788,0.6621
6.2358,3.5578
6.4277,1.21
94.8135,